2025-03-26 14:57:07,135:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -299.21490173556884
2025-03-26 14:57:07,136:INFO:Step: {}, Action: 1, Reward: -20.95478769985181, Total Reward: -320.16968943542065
2025-03-26 14:57:07,136:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -320.16968943542065
2025-03-26 14:57:07,136:INFO:Step: {}, Action: 2, Reward: 48.81306841944243, Total Reward: -271.35662101597825
2025-03-26 14:57:07,136:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -271.35662101597825
2025-03-26 14:57:07,137:INFO:Step: {}, Action: 1, Reward: 62.24182377240105, Total Reward: -209.1147972435772
2025-03-26 14:57:07,137:INFO:Step: {}, Action: 0, Reward: 1.6876793159272037, Total Reward: -207.42711792765
2025-03-26 14:57:07,137:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -207.42711792765
2025-03-26 14:57:07,138:INFO:Step: {}, Action: 0, Reward: -1.8404085083025679, Total Reward: -209.26752643595256
2025-03-26 14:57:07,138:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -209.26752643595256
2025-03-26 14:57:07,138:INFO:Step: {}, Action: 0, Reward: 18.27402318030232, Total Reward: -190.99350325565024
2025-03-26 14:57:07,138:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -190.99350325565024
2025-03-26 14:57:07,139:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -190.99350325565024
2025-03-26 14:57:07,139:INFO:Step: {}, Action: 2, Reward: -11.013558499418098, Total Reward: -202.00706175506835
2025-03-26 14:57:07,139:INFO:Step: {}, Action: 0, Reward: 13.423947574968373, Total Reward: -188.58311418009998
2025-03-26 14:57:07,139:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -188.58311418009998
2025-03-26 14:57:07,140:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -188.58311418009998
2025-03-26 14:57:07,140:INFO:Step: {}, Action: 2, Reward: -17.294203642358188, Total Reward: -205.87731782245817
2025-03-26 14:57:07,140:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -205.87731782245817
2025-03-26 14:57:07,140:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -205.87731782245817
2025-03-26 14:57:07,141:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -205.87731782245817
2025-03-26 14:57:07,141:INFO:Step: {}, Action: 1, Reward: 65.46415362420824, Total Reward: -140.41316419824994
2025-03-26 14:57:07,141:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -140.41316419824994
2025-03-26 14:57:07,142:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -140.41316419824994
